Questions,Difficulty,Category
Which one of the following is a structured data store that supports indexing and data queries to both EC2 and S3? DynamoDBMySQLAuroraSimpleDB,1.0,Other
Which service offered by Amazon will you choose if you want to collect and process e-commerce data for near real-time analysis? (Choose any two)DynamoDBRedshiftAuroraSimpleDB,1.0,OS
"If in CloudFront the content is not present at an edge location, what will happen when a request is made for that content?",1.0,Other
Can you change the private IP address of an EC2 instance while it is in running or in a stopped state?,2.0,Other
"Which of the following options will you use if you have to move data over long distances using the Internet, from instances that are spread across countries to your Amazon S3 bucket?Amazon CloudFrontAmazon Transfer AccelerationAmazon SnowballAmazon Glacier",1.0,Other
Which of the following services is a data storage system that also has REST API interface and uses secure HMAC-SHA1 authentication keys?Amazon Elastic Block StoreAmazon SnapshotAmazon S3,1.0,Other
What is EC2?,1.0,Other
What is Snowball?,1.0,Other
What is CloudWatch?,1.0,Other
What is Elastic Transcoder?,1.0,Other
What do you understand by VPC?,1.0,Other
What does an AMI include?,1.0,Other
What are the Storage Classes available in Amazon S3?,1.0,Other
What are the native AWS security logging capabilities?,1.0,Other
What are key pairs?,1.0,Other
What are policies and what are the different types of policies?,1.0,Other
What kind of IP address can you use for your customer gateway (CGW) address?,2.0,Other
Which of the following is not an option in security groups?List of usersPortsIP addressesList of protocolsList of users,1.0,Other
"A Company has a running Web Application Server in the N. Virginia region and the server has a large size EBS volume of approximately 500 GB, and to see the demand of business, the company needs to migrate the server from the current region to another AWS account’s Mumbai location. Which is the best way to migrate the server from the current location to the Mumbai region? And what information AWS administrator does require about AWS A/C?",1.0,Other
"Unable to ping Instance We launched a Windows 2019 IIS server in the Ohio region and deployed a dynamic website in this server, in addition, the webserver also connected with a backend MS-SQL server to store and access data related to the application. Our users were able to access the website over the Internet. The next day our client informed us that they were able to access the website, but weren’t able to ping the server from the Internet. To ensure ICMP rule in Security Group, we checked, and the Security Group had allowed rule from 0.0.0.0/0. Would you try to help troubleshoot the issue?",,SQL
"A start-up company has a web application based in the us-east-1 Region with multiple Amazon EC2 instances running behind an Application Load Balancer across multiple Availability Zones. As the company's user base grows in the us-west-1 region, the company needs a solution with low latency and improved high availability. What should a solutions architect do to achieve it.?",1.0,Other
A company currently operates a web application backed by an Amazon RDS MySQL database. It has automated backups that are run daily and are not encrypted. A security audit requires future backups to be encrypted and unencrypted backups to be destroyed. The company will make at least one encrypted backup before destroying the old backups. What should be done to enable encryption for future backups?,1.0,SQL
"A company is going to launch one branch in the UK and need to continue with its existing main branch in the USA. The company has almost 15 GB of data which is stored in an S3 Bucket in the Ohio region and data is stored with the default storage class. The Company also wants to provide its updated & stored data in the London S3 bucket using one zone accessibility storage class to save storage costs. In addition, the company also wants that the data must be updated automatically in S3’s London bucket; if any data is modified or written in the S3 bucket in Ohio.",1.0,Other
"You are an AWS Architect in your company, and you are asked to create a new VPC in the N.Virginia Region with two Public and two Private subnets using the following CIDR blocks:",,Other
"The data on the root volumes of store-backed and EBS-backed instances get deleted by default when they are terminated. If you want to prevent that from happening, which instance would you use? And ensure if the EC2 instance is restarted, the data or configuration in the EC2 instance should not be lost.",1.0,Other
You have an application running on an EC2 instance. You need to reduce the load on your instance as soon as the CPU utilization reaches 80 percent. How will you accomplish the job?,2.0,Other
Watch this Video on AWS Training,,Other
"In AWS, three different storage services are available, such as EFS, S3, and EBS. When should I use Amazon EFS vs. Amazon S3 vs. Amazon Elastic Block Store (EBS)?",1.0,Other
"A company's web application is using multiple Linux Amazon EC2 instances and storing data on Amazon EBS volumes. The company is looking for a solution to increase the resiliency of the application in case of a failure and to provide storage that complies with atomicity, consistency, isolation, and durability (ACID). What should a solutions architect do to meet these requirements?",1.0,OS
"An application running on AWS uses an Amazon Aurora Multi-AZ deployment for its database. When evaluating performance metrics, a solutions architect discovered that the database reads are causing high I/O and adding latency to the write requests against the database. What should the solutions architect do to separate the read requests from the write requests?",1.0,SQL
A client reports that they wanted to see an audit log of any changes made to AWS resources in their account. What can the client do to achieve this?,2.0,Other
"Usually, you have noticed that one EBS volume can be connected with one EC2 instance, our company wants to run a business-critical application on multiple instances in a single region and need to store all instances output in single storage within the VPC. Instead of using EFS, our company is recommending the use of multi-attach volume with instances. As an architect, you need to suggest them what instance type and EBS volumes they should use.",2.0,Other
"A company is using a VPC peering connection option to connect its multiple VPCs in a single region to allow for cross VPC communication. A recent increase in account creations and VPCs has made it difficult to maintain the VPC peering strategy, and the company expects to grow to hundreds of VPCs. There are also new requests to create site-to-site VPNs with some of the VPCs. A solutions architect has been tasked with creating a centrally networking setup for multiple accounts and VPNs. Which networking solution would you recommend to resolve it?",1.0,Other
"An organization has multiple facilities in various continents such as North America, Europe, and the Asia Pacific. The organization is designing a new distributed application to manage and optimize its global supply chain and its manufacturing process. It needs to design the process in such a way that the booked order in one continent should be able to support data failover with a short Recovery Time Objective (RTO). The uptime of the application should not impact manufacturing, what kind of solution would you recommend as a solution architect?",1.0,OS
"
Find AWS Training in Other Regions",,Other
Check out this video on DevOps Interview Questions:,,Other
What is DevOps?,1.0,Other
How does HTTP work?,2.0,Other
"In terms of development and infrastructure, mention the core operations of DevOps.",1.0,Other
What are some technical and business benefits of DevOps work culture?,1.0,Other
Name some of the most important DevOps tools?,1.0,Other
What is CI? What is its purpose?,1.0,Other
Name three important DevOps KPIs.,1.0,Other
What is the difference between continuous deployment and continuous delivery?,2.0,Other
What is DevOps? Is it a tool?,1.0,Other
What are the core operations of DevOps in terms of development and infrastructure?,1.0,Other
"Our team has some ideas and wants to turn those ideas into a software application. Now, as a manager, I am confused about whether I should follow the Agile work culture or DevOps. Can you tell me why I should follow DevOps over Agile?",2.0,Other
Can one consider DevOps as an Agile methodology?,2.0,Other
Can you tell me the advantages of using Git?,2.0,Other
Are git fetch and git pull the same?,,Other
What are the benefits of using version control?,1.0,Other
How do you handle the merge conflicts in Git?,2.0,Other
Can you tell me some advantages of Forking Workflow over other Git workflows?,2.0,Other
When do you use ‘git rebase’ instead of ‘git merge’?,1.0,Other
"I just made a bad git commit and made it public, and I need to revert the commit. Can you suggest me how to do that?",2.0,SQL
Can you tell me how to squash the last n commits into a single commit? Is it even possible?,2.0,SQL
"I want to move or copy Jenkins from one server to another. Is it possible? If yes, how?",2.0,Other
"Can you tell me, what Continuous Testing and Automation Testing are?",2.0,Other
How to launch a browser using WebDriver?,2.0,Other
Are there any technical challenges with Selenium? ,,Other
When should I use Selenium Grid?,1.0,Other
Describe the difference between driver.close() and driver.quit().,2.0,Other
I have 40 jobs in the Jenkins dashboard and I need to build them all at once. Is it possible?,2.0,Other
How will you secure Jenkins?,2.0,Other
Can you please tell me how to create a backup and copy files in Jenkins?,2.0,Other
What is Jenkins Pipeline and CI/CD Pipeline?,1.0,Other
What are Puppet Manifests?,1.0,Other
How can I configure systems with Puppet?,2.0,Other
What is a Puppet Module? How is it different from the Puppet Manifest?,2.0,Other
Can you tell me what a Puppet codedir is?,2.0,Other
Where do you find codedir in Puppet?,1.0,Other
How does Ansible work?,2.0,Other
"Sometimes, we use ad-hoc commands instead of Playbooks in Ansible. Can you tell me what’s the difference between Ansible Playbook and an ad-hoc command? Also, cite when to use them.",2.0,Other
Why should I use Ansible?,2.0,Other
What are handlers in Ansible?,1.0,Other
Have you heard about Ansible Galaxy? What does it do?,1.0,Other
Can you write the syntax for building a docker image?,2.0,Other
What is the concept of sudo in Linux?,1.0,OS
Can you tell me the purpose of SSH?,2.0,Other
What is NRPE in Nagios?,1.0,Other
Can you tell me why I should use Nagios?,2.0,Other
What is Nagios Log Server?,1.0,Other
Can you tell me why I should use Nagios for HTTP monitoring?,2.0,Other
What is a namespace in Kubernetes?,1.0,Other
What is kubectl?,1.0,Other
What are the testing types supported by Selenium?,1.0,Other
What are the prerequisites to install Ansible 2.8 on Linux?,1.0,OS
What is the role of configuration management in DevOps?,1.0,Other
What is the role of AWS in DevOps?,1.0,Other
Which file is used to define dependency in Maven?,1.0,Other
What are the benefits of using the version control system (VCS)?,1.0,Other
What are the benefits of Ansible?,1.0,Other
Explain the different Selenium components.,2.0,Other
What are the advantages of Docker over virtual machines?,1.0,Other
Why are SSL certificates used in Chef?,2.0,Other
How can Docker containers be shared with different nodes?,2.0,Other
"
Find Best DevOps Training in Other Regions",,Other
Watch this Cloud Computing Interview Questions and Answers video: ,,Other
Compare between Cloud and On-premise Computing.,2.0,Other
What is a Cloud?,1.0,Other
What is Cloud Computing?,1.0,Other
What are some of the key features of Cloud Computing?,1.0,Other
What are the benefits of Cloud Computing?,1.0,Other
Mention the layers of PaaS architecture.,1.0,Other
What are the cloud service models?,1.0,Other
Write about Function as a Service.,,Other
What are the components of Windows Azure?,1.0,Other
Which are the main constituents of the cloud ecosystem?,1.0,Other
Who are the cloud consumers in a cloud ecosystem?,1.0,Other
Who are the direct consumers in a cloud ecosystem?,1.0,Other
Who are the Cloud service providers in a cloud ecosystem?,1.0,Other
What are the differences occurred in distributed operations?,1.0,OS
Which agent is equivalent of Nova Compute?,1.0,Other
Mention the reliability and availability of Cloud Computing.,1.0,Other
Explain the Cloud Computing Architecture. ,2.0,Other
What are the Cloud Storage Levels?,1.0,Other
What are the serverless components in cloud computing with their advantages and disadvantages?,1.0,Other
Give the best example for the open-source Cloud Computing.,,Other
What are microservices and their importance in the cloud?,1.0,Other
What is an AMI? How do we implement it?,2.0,Other
Why Hybrid Clouds are so important?,2.0,Other
List the platforms that are used for large-scale Cloud Computing.,1.0,Other
Mention the different types of models used for the deployment in Cloud Computing.,1.0,Other
Explain security management in terms of Cloud Computing.,2.0,Other
Which are the layers of Cloud Computing?,1.0,Other
Explain the full form and the usage of 'Eucalyptus' in Cloud Computing.,2.0,Other
Mention the names of some large cloud providers and databases.,1.0,SQL
Explain the difference between cloud and traditional data centers.,2.0,Other
What is meant by Edge Computing?,1.0,Other
What are the uses of APIs in cloud services?,1.0,Other
Mention different data center deployments of Cloud Computing.,1.0,Other
List down the three basic functioning clouds in Cloud Computing.,1.0,Other
What are the characteristics of cloud architecture that differ from traditional cloud architecture?,1.0,Other
What are the building blocks of cloud architecture?,1.0,Other
Explain AWS.,2.0,Other
Mention the key components of AWS.,1.0,Other
Explain how you can vertically scale an Amazon instance.,2.0,Other
Explain the security usage in the Amazon Web Services model.,2.0,Other
"Watch this Cloud Computing Full Course video:
",,Other
What are reasons that make Amazon so big?,1.0,Other
How does Resource Replication take place in Cloud Computing?,2.0,Other
What is Containers as a Service (CaaS)?,1.0,Other
"
Find AWS Training in Other Regions",,Other
Check this video on Blockchain Interview Questions And Answers:,,Other
What is Blockchain technology?,1.0,Other
What is Blockchain Wallet and How Does It Work?,2.0,Other
What Is Ethereum (ETH)?,1.0,Other
What is the difference between Bitcoin blockchain and Ethereum?,2.0,Other
What are Smart Contracts and how do they work?,2.0,Other
What Is Cryptocurrency Mining and how Bitcoin mining works?,2.0,Other
What is a Blockchain Explorer?,1.0,Other
What Is Hashing in Blockchain?,1.0,Other
What are the different types of Blockchain?,1.0,Other
What are the benefits of Blockchain Technology?,1.0,Other
Name some popular Blockchain Platforms for Blockchain Applications?,1.0,Other
What is the difference between Blockchain and Hyperledger?,2.0,Other
What are some of the popular Cryptocurrencies?,1.0,Other
What is a ledger? What is the difference between a distributed ledger and a traditional ledger?,2.0,OS
What is a 51% Attack?,1.0,Other
Compare Blockchain with relational database,2.0,SQL
What do you mean by blocks in Blockchain technology?,1.0,Other
How does a block is recognized in the Blockchain approach?,2.0,Other
Are there any network-specific conditions for using Blockchain technology in an organization?,,Other
Is it possible to modify the data once it is written in a block?,,Other
What type of records can be kept in Blockchain? Is there any restriction on the same?,2.0,Other
How Does Blockchain Create Blocks?,2.0,Other
Can Anyone Remove Blocks from A Blockchain?,2.0,Other
What is encryption? What is its role in Blockchain?,1.0,Other
What exactly do you know about the security of a block?,2.0,Other
Why is Blockchain a trusted approach?,2.0,Other
What is Secret Sharing? Does it have any benefit in Blockchain technology?,1.0,Other
What are Blockchain Durability and robustness?,1.0,Other
How does Bitcoin use Blockchain?,2.0,Other
Is Blockchain an incorruptible ledger?,,Other
What are blockchain requirements?,1.0,Other
In what order are the blocks linked in the blockchain?,1.0,Other
What are Block Identifiers?,1.0,Other
Name the common type of ledgers that can be considered by users in Blockchain?,2.0,Other
How is a blockchain ledger different from an ordinary ledger?,2.0,Other
What is Double Spending? Is it possible to double spend in a Blockchain system?,1.0,Other
Explain the significance of blind signature and how it is useful?,2.0,Other
Can you define what is an off-chain transaction?,2.0,Other
"when it comes to securing the transactions records, How will you handle risk management when it comes to securing the transactions records?",2.0,Other
What are the threats to the information you are familiar with?,1.0,Other
What are the key principles in Blockchain that are helpful in eliminating the security threats that need to be followed?,1.0,Other
Can you name some of the popular consensus algorithms?,2.0,Other
What Is the Difference Between Proof-Of-Stake (Pos) And Proof-Of-Work (Pow)?,2.0,Other
Name the steps that are involved in the Blockchain project implementation?,1.0,Other
What is a Public Key?,1.0,Other
What is a Private Key?,1.0,Other
What Are the Drawbacks of Blockchain?,1.0,Other
How Can You Stop Double Spending?,2.0,Other
What is Transparent and incorruptible in blockchain?,1.0,Other
What Is Consensus Algorithm?,1.0,Other
What Do You Think About the Future of Blockchain?,1.0,Other
What are the Merkle trees? ,1.0,Other
What do you mean by Coinbase transaction?,1.0,Other
"
Find Blockchain Training in Other Regions",,Other
What is Azure Cloud Service?,1.0,Other
Differentiate between Microsoft Azure and AWS.,2.0,Other
What is Azure DevOps?,1.0,Other
What is Azure Active Directory (Azure AD)?,1.0,OS
What is Azure Data Factory?,1.0,Other
What is Azure Databricks?,1.0,Other
What is Azure Data Lake?,1.0,Other
What are Azure resources?,1.0,Other
What are the roles implemented in Windows Azure?,1.0,Other
What are the three principal segments of the Windows Azure platform?,1.0,Other
Define Windows Azure AppFabric.,1.0,Other
What is the distinction between Windows Azure Queues and Windows Azure Service Bus Queues?,2.0,Other
What is table storage in Windows Azure?,1.0,SQL
What is autoscaling in Azure?,1.0,Other
What are the features of Windows Azure?,1.0,Other
What are the differences between a public cloud and a private cloud?,2.0,Other
"What is IaaS, PaaS, and SaaS?",1.0,Other
Is it possible to get a public DNS or IP address for the Azure Internal Load Balancer?,,Other
What is Azure Resource Manager?,1.0,Other
What is NSG?,1.0,Other
What is Azure Redis Cache?,1.0,Other
Define Azure storage key,1.0,Other
What is CSPack in Azure?,1.0,Other
Why is Azure Diagnostics API necessary?,2.0,Other
What are the deployment environment options provided by Azure?,1.0,AI
What is Azure Blob Storage?,1.0,Other
What is a role instance in Azure?,1.0,Other
What is Windows Azure Portal?,1.0,Other
Explain Azure Fabric.,2.0,Other
What do you comprehend about Hybrid Cloud?,1.0,Other
What is a storage key?,1.0,Other
What is Windows Azure Traffic Manager?,1.0,Other
What is federation in SQL Azure?,1.0,SQL
What is SQL Azure database?,1.0,SQL
What are the different types of Storage areas in Windows Azure?,1.0,Other
What is the concept of the table in Windows Azure?,1.0,SQL
How to secure Azure functions?,2.0,Other
What is Conditional Access in Azure?,1.0,Other
When should you use a static IP address in Azure?,1.0,Other
How does Azure Site Recovery work?,2.0,OS
Why should you use Azure CDN?,2.0,Other
Explain the benefits of Traffic Manager.,2.0,Other
What is the difference between a library and a list?,2.0,Other
How many services are there in Azure?,2.0,Other
How many types of backups are there in Azure?,2.0,Other
How can you have a common file-sharing system among multiple virtual machines?,2.0,Other
What is the TFS build system in Azure?,2.0,Other
What is Azure App Service?,1.0,Other
What is profiling in Azure?,1.0,Other
What is cmdlet in Azure?,1.0,Other
What is Windows Azure Scheduler?,1.0,Other
How can you create an HDInsight Cluster in Azure?,2.0,Other
What is Text Analytics API in Azure Machine?,1.0,Other
What is the Migration Assistant tool in Azure Websites?,1.0,Other
What is the distinction between Public Cloud and Private Cloud?,2.0,Other
What is Azure Service Level Agreement (SLA)?,1.0,Other
How to add an administrator to the Azure portal?,2.0,Other
How to connect to Azure Database from SQL Management Studio?,2.0,SQL
How to create a virtual machine on Azure?,2.0,Other
How to deploy SQL Database in Azure?,2.0,SQL
How to export users from Azure Active Directory?,2.0,OS
How to create a resource group in Azure?,2.0,Other
What are the differences between Azure Scale Sets and Availability Sets?,2.0,Other
What are the different storage services available in Azure apart from Blob storage?,1.0,Other
What is the difference between Azure Table Storage and the Azure SQL service?,2.0,SQL
Create a Virtual Machine with Azure CLI.,,OS
How will you execute code with the help of Azure if there is no server?,2.0,Other
What will you do in case of a drive failure?,1.0,Other
What could be the reason for the client application to be disconnected from the cache?,1.0,Other
How can you stop the high load issue on an application in cases of no man support on the flow?,2.0,Other
What would happen if tone reaches the maximum failed attempts for Azure ID authentication?,1.0,Other
"If you have an application running on the on-premise server and Azure East US region has a backup, will you be able to access the application via the Azure environment in case of an on-premise server application access failure?",,AI
"In case the front-end hosting of an application is done on Azure, if the user needs the database hosting to be done on an on-premise server due to security concerns, how will you handle the Azure connectivity?",2.0,SQL
You have an Azure subscription that contains an Azure Log Analytics workspace. You have a resource group that contains 100 virtual machines. The virtual machines run Linux. You need to collect events from the virtual machines to the log analytics workspace. Which type of data source should be configured in the workspace?,1.0,OS
You create a container image named Image1 on a developer workstation. You plan to create an Azure web app for containers named WebAppContainer that will use Image1. You need to upload Image1 to Azure. The solution must ensure that WebAppContainer can use Image1. To which storage type should you upload Image1?,2.0,Other
You have an Azure subscription that contains 100 virtual machines. You have a set of Pester tests in PowerShell that validate the virtual machine environment. You need to run the tests whenever there is an operating system update on the virtual machines. The solution must minimize implementation time and recurring costs. Which three resources should you use to implement the tests?,1.0,AI
You have an Azure App Service app. You need to implement tracing for the app. The tracing information must include the following:	,,Other
You have an Azure virtual machine named VM1 and an Azure Active Directory (Azure AD) tenant named adatum.com. VM1 has the following settings:,,OS
You are designing an Azure solution. The solution must meet the following requirements: ,,Other
You have an Azure Cosmos DB account named Account1. Account1 includes a database named DB1 that contains a container named Container1. The partition key for Container1 is set to /city. You plan to change the partition key for Container1. What should you do first?,1.0,SQL
"You have an Azure subscription that contains a resource group named RG1. RG1 contains multiple resources. You need to trigger an alert when the resources in RG1 consume US$1,000. What should you do?",1.0,SQL
You have an Azure Kubernetes Service (AKS) cluster named Clus1 in a resource group named RG1. An administrator plans to manage Clus1 from an Azure AD-joined device. You need to ensure that the administrator can deploy the YAML application manifest file for a container application. You install the Azure CLI on the device. Which command should you run next?,2.0,OS
Your company has the groups shown in the following table. ,,SQL
Your company has an office in Seattle. You have an Azure subscription that contains a virtual network named VNET1. You create a site-to-site VPN between the Seattle office and VNET1. VNET1 contains the subnets shown in the following table. ,2.0,SQL
You have an Azure web app named App1 that is configured to run between two and five instances. There are currently three instances of App1 running. App1 has the following autoscale rules: Increase the instance count by one when the CPU percentage is greater or equal to 80. Decrease the instance count by one when the CPU percentage is less than or equal to 60. You are evaluating the following CPU percentage of utilization for App1:,2.0,Other
You have an on-premises network that contains a Hyper-V host named Host1. Host1 runs Windows Server 2016 and hosts 10 virtual machines that run Windows Server 2016. You plan to replicate the virtual machines to Azure by using Azure Site Recovery. You create a Recovery Services vault named ASR1 and a Hyper-V site named Site1. You need to add Host1 to ASR1. What should you do?,1.0,OS
You have an Azure subscription named Subscription1 that contains a virtual network named VNet1. VNet1 is in a resource group named RG1. Subscription1 has a user named User1. User1 has the following roles:,,Other
A company hosts virtual machines (VMs) in an on-premises data center and in Azure. The on-premises and Azure-based VMs communicate using ExpressRoute. The company wants to be able to continue regular operations if the ExpressRoute connection fails. Failover connections must use the internet and must not require multiprotocol label switching (MPLS) support. You need to recommend a solution that provides continued operations. What should you recommend?,1.0,Other
You have a resource group named RG1. RG1 contains an Azure Storage account named storageaccount1 and a virtual machine named VM1 that runs Windows Server 2016. storageaccount1 contains the disk files for VM1. You apply a ReadOnly lock to RG1. What can you do from the Azure portal? ,2.0,Other
"
Find Azure Training in Other Regions",,Other
What is Chef?,1.0,Other
Explain the major components of Chef?,2.0,Other
What is a Chef resource and what are its functions?,1.0,Other
What are Chef Resources and its functions?,1.0,Other
What is a Chef Node and what is its importance?,1.0,Other
What is the difference between a Cookbook and a Recipe in Chef?,2.0,Other
What is the difference between a Cookbook and a Recipe in Chef?,2.0,Other
How does a Chef Repository work?,2.0,Other
Why are SSL certificates used in Chef?,2.0,Other
What is the significance of a Signed Header?,1.0,Other
Explain therun-list in Chef?,2.0,Other
What is the importance of Chef starter kit?,1.0,Other
What is the process for updating a Chef Cookbook?,1.0,OS
What is the process for bootstrapping in Chef and the information needed?,1.0,OS
Explain your understanding of Test Kitchen in Chef?,2.0,Other
"
Find Best DevOps Training in Other Regions",,Other
What is Docker?,1.0,Other
Define Containerization.,1.0,Other
What is the benefit of using a Docker over a Hypervisor?,1.0,Other
What are the unique features of Docker over other containerization technologies?,1.0,Other
What is a Docker image?,1.0,Other
What is a Docker container?,1.0,Other
What is a Docker Hub?,1.0,Other
What is a Docker Swarm?,1.0,Other
What is the use of a Dockerfile?,1.0,Other
What is Docker Compose?,1.0,Other
Why use Docker?,2.0,Other
What are the drawbacks of Docker?,1.0,Other
What is Docker Engine?,1.0,Other
What are registries?,1.0,Other
What are Docker namespaces?,1.0,Other
How to use Docker?,2.0,Other
Is it possible to use JSON instead of YAML for Docker Compose?,,Other
What is the process for creating a Docker container?,1.0,OS
What is the process for stopping and restarting a Docker container?,1.0,OS
How to create a Docker image?,2.0,Other
How to stop a Docker container?,2.0,Other
How to remove Docker images?,2.0,Other
Where are Docker images stored?,1.0,Other
How to run a Docker image?,2.0,Other
How to start a Docker container?,2.0,Other
How to use Docker Compose?,2.0,Other
What command should be run to view all the running Docker containers?,1.0,Other
What is Docker daemon?,1.0,Other
Name and explain the states of a Docker container.,2.0,Other
What is Docker Hub?,1.0,Other
Define Virtualization.,1.0,Other
What is a Hypervisor?,1.0,Other
What are Docker object labels?,1.0,Other
What are the steps in a Docker container life cycle?,1.0,Other
Name the three components of the Docker architecture.,1.0,Other
How do you scale your Docker containers?,2.0,Other
How does communication happen between Docker client and Docker daemon?,2.0,Other
Explain the implementation method of continuous integration (CI) and continuous deployment (CD) in Docker.,2.0,Other
How to run a Docker container?,2.0,Other
Tell us how you have used Docker in your past position.,2.0,Other
"
Find Best DevOps Training in Other Regions",,Other
Watch this Git Tutorial Video,,Other
What are Git and GitHub?,1.0,Other
What is the difference between Git and GitHub?,2.0,Other
What is a Git repository? Name some popular Git hosting services.,1.0,Other
What is a version control system? Mention its types.,1.0,Other
What are the main differences between Git and SVN?,2.0,Other
What are the advantages of using GIT?,1.0,Other
What language is used in GIT?,1.0,Other
What are the advantages of Git over SVN?,1.0,Other
What is Git Bash?,1.0,OS
What is the meaning of “Index” or “Staging Area” in GIT?,1.0,SQL
What is tagging in Git?,1.0,Other
What is forking in Git?,1.0,Other
What is the use of a Git clone?,1.0,Other
What is the function of ‘git config’?,1.0,Other
What is the process for creating a repository in Git?,1.0,OS
What is cherry-pick in Git?,1.0,Other
What is origin in Git?,1.0,Other
What is the git push command?,1.0,Other
What is the git pull command?,1.0,Other
What is the difference between git fetch and git pull?,2.0,Other
Explain git checkout in Git.,2.0,Other
What does git rebase do?,1.0,Other
What is the difference between git rebase and git merge?,2.0,Other
What is revert in Git?,1.0,Other
What is the difference between resetting and reverting?,2.0,Other
What is the difference between ‘git remote’ and ‘git clone’?,2.0,Other
What is GIT stash?,1.0,Other
"How are fork, branch, and clone different from each other?",2.0,Other
What is the difference between git reflog and log?,2.0,Other
What is GIT stash drop?,1.0,Other
How to identify if a certain branch has been merged into master?,2.0,Other
Why do we need branching in GIT?,2.0,Other
What are the constituents of the commit object contain?,1.0,SQL
"What is HEAD in Git, and how many HEADs can be created in a repository?",2.0,Other
What is the regular way for branching in GIT?,1.0,Other
State a way to create a new branch in Git.,,Other
How do you define a ‘conflict’ in git?,2.0,Other
How to resolve a conflict in Git?,2.0,Other
"
Find Best DevOps Training in Other Regions",,Other
What is Jenkins?,1.0,Other
What is Jenkins used for?,1.0,Other
Which architecture is recommended for a scalable Jenkins environment?,1.0,AI
How to add a user in Jenkins?,2.0,Other
What is Jenkins Pipeline?,1.0,Other
What is Jenkinsfile?,1.0,Other
What is continuous integration in Jenkins?,1.0,Other
How to change port for Jenkins?,2.0,Other
What are the software prerequisites that must be met before Jenkins is installed?,1.0,Other
How to configure and use third-party tools in Jenkins?,2.0,Other
How to set up a Jenkins job?,2.0,Other
How to take a backup of your Jenkins build jobs?,2.0,Other
What are the steps included in a Jenkins pipeline?,1.0,Other
What is the process for creating a backup and copy files in Jenkins?,1.0,OS
State some of the advantages of using Jenkins.,,Other
What are the requirements for using Jenkins?,1.0,Other
What are some of the useful plugins in Jenkins?,1.0,Other
How will you create Pipeline in Jenkins?,2.0,Other
How to configure Docker in Jenkins?,2.0,Other
When can you use the GitHub plugin in Jenkins?,2.0,Other
How to integrate Git with Jenkins?,2.0,Other
Name some of the SCM tools that are supported by Jenkins.,1.0,Other
Name two ways a Jenkins node agent can be configured to communicate back with the Jenkins master.,2.0,Other
How to turn off Jenkins Security if the administrative users have locked out of the admin console?,2.0,Other
What is the process for securing Jenkins?,1.0,OS
What is the relation between Hudson and Jenkins?,2.0,Other
"If there is a broken build in your Jenkins project, then what will you do?",2.0,Other
"From one server to another, how do you copy or move your Jenkins jobs?",2.0,Other
How to schedule builds in Jenkins?,2.0,Other
How to configure Jenkins with Maven?,2.0,Other
How to create a slave node in Jenkins?,2.0,Other
How to deploy from Jenkins?,2.0,Other
"
Find Best DevOps Training in Other Regions",,Other
What is Kubernetes?,1.0,Other
What are the benefits of Kubernetes?,1.0,Other
What is a Kubernetes cluster?,1.0,Other
What is Kubernetes used for?,1.0,Other
How does Kubernetes work?,2.0,Other
What is the difference between Kubernetes and Docker Swarm?,2.0,Other
What is orchestration in software?,1.0,Other
What is a Kubernetes namespace?,1.0,Other
What are federated clusters?,1.0,Other
What is a pod in Kubernetes?,1.0,Other
What is a node in Kubernetes?,1.0,Other
What is a Heapster?,1.0,Other
What is a container cluster?,1.0,Other
What is a kubelet?,1.0,Other
How to write a Kubernetes scheduler?,2.0,Other
What are the ways to provide API Security on Kubernetes?,1.0,Other
"If an organization is looking for ways to improve its deployment methods and desires a more scalable and responsive platform, what should be done?",1.0,Other
"If an organization has a large distributed system with several data centers, virtual machines, and a huge number of employees working on various tasks, how can the tasks be managed with consistency with the help of Kubernetes?",2.0,OS
What is the difference between a replica set and a replication controller?,2.0,Other
How does Kubernetes scale?,2.0,Other
What is a Kubernetes context?,1.0,Other
Give examples of some recommended security measures for Kubernetes.,1.0,Other
What is a Headless Service?,1.0,Other
What is Minikube?,1.0,Other
What is Kubectl?,1.0,Other
What is GKE?,1.0,Other
What is kube-proxy?,1.0,Other
What are the components of a Kubernetes Master?,1.0,Other
What is the use of kube-controller-manager?,1.0,Other
What is load balancing on Kubernetes?,1.0,Other
What does a kube-scheduler do?,1.0,Other
Where is the Kubernetes cluster data stored?,1.0,Other
How to set a static IP for Kubernetes load balancer?,2.0,Other
Explain the Kubernetes architecture.,2.0,Other
What do I need on-premises to run the Kubernetes architecture?,1.0,Other
"
Find Best DevOps Training in Other Regions",,Other
What is Puppet?,1.0,Other
What is Manifests?,1.0,Other
What is the difference between a Module and a Manifest?,2.0,Other
What is Facter?,1.0,Other
What is Puppet Kick?,1.0,Other
What is MCollective?,1.0,Other
is it possible to manage Workstations with Puppet?,,Other
Does Puppet run on Windows?,,Other
What type of organizations can use Puppet?,2.0,Other
Can Puppet run on servers that are unique?,2.0,Other
What is Puppet Labs?,1.0,Other
How to upgrade Puppet and Facter?,2.0,Other
What are the characters permitted in a class and module name?,1.0,Other
How are the variables like $ operating system set?,2.0,OS
"
Find Best DevOps Training in Other Regions",,Other
What is cloud computing?,1.0,Other
What is cloud?,1.0,Other
What are the main features of cloud services?,1.0,Other
What is Google Cloud Platform?,1.0,Other
What are the advantages of using cloud computing?,1.0,Other
